action,event_pk,rn,date,work_area,organization,project,survey,sampling_bout,site_id,source,lat,long,collection_method,line_out_depth,pressure_transducer_depth,acidified,acidification_method,volume,part,screen_size,collected,preserved,analyzed,lab_technician,filter_portion,project_specific_id,hakai_id,pre_weight_mg,post_weight_mg,filter_size_mm,filter_type,total_beam_n,ug_n,per_n,delta_air,corr_delta15n,total_beam_c,ug_c,per_c,delta_pdb,corr_delta13c,c_n,analyzing_lab,c_flag,n_flag,c_n_flag,row_flag,quality_level,comments,quality_log
,4460,1,2014-11-07,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,5,,false,None,3470,,,2014-11-07T17:30:32.000Z,2014-11-07T22:00:03.000Z,,,1,,QF48,133,,47,,,8.69433836373288,,,8.74260298119984,,72.2709512800521,,,-26.1361718753041,,UCDAVISSIF,SVC,SVD,,Results,Technician,,1: Results checked by RP.2: Checked by KP
,4477,1,2014-11-13,QUADRA,HAKAI,OCEANOGRAPHY;OCEANOGRAPHY;FGS,QOMB;QOMA;B,1,QU24,M,50.03,-125.08,,5,,false,None,3400,,,2014-11-13T17:00:30.000Z,2014-11-13T23:30:16.000Z,,,1,,QF65,130.9,,47,,,42.2863841268138,,,5.77692776393751,,274.932068107171,,,-29.3975215196569,,UCDAVISSIF,,,,Results,Technicianmr,,1: Results checked by RP.2: Checked by KP
,4515,1,2014-11-25,QUADRA,HAKAI,OCEANOGRAPHY;FGS;OCEANOGRAPHY,QOMB;B;QOMA,1,QU24,M,50.03,-125.08,,5,,false,None,3200,,,2014-11-25T18:41:40.000Z,2014-11-25T23:30:40.000Z,,,1,,QF80,131.9,,47,,,8.44749215616127,,,7.46313445754856,,93.7443682182841,,,-27.4273351327256,,UCDAVISSIF,SVC,SVD,,Results,Technician,,1: Results checked by RP.2: Checked by KP
,13,1,2014-12-02,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,5,,false,None,3600,,,2014-12-02T17:30:23.000Z,2014-12-02T18:30:51.000Z,,,1,,QF90,131.5,,47,,,23.2907663539555,,,8.07224829555148,,132.924591490685,,,-26.4425424725483,,UCDAVISSIF,,,,Results,Technician,,1: Results checked by RP.2: Checked by KP
,21,1,2014-12-11,QUADRA,HAKAI,OCEANOGRAPHY;OCEANOGRAPHY,QOMA;QOMB,1,QU24,M,50.03,-125.08,,5,,false,None,3000,,,2014-12-11T17:32:41.000Z,2014-12-11T18:42:28.000Z,,,1,,QF37,132.9,,47,,,12.7787349944472,,,6.11479342508379,,93.1133615695572,,,-24.1749620189124,,UCDAVISSIF,SVC,SVC,,Results,Technician,,1: Results checked by RP.2: Checked by KP
,29,1,2014-12-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,5,,false,None,3000,,,2014-12-16T16:30:51.000Z,2014-12-16T18:00:03.000Z,,Bryn;Rebecca;Katie,1,,QF98,132,,47,,,15.8879796660344,,,6.45509368671198,,93.0729307517207,,,-26.3147670153097,,UCDAVISSIF,SVC,SVC,,Results,Technician,,1: Results checked by RP.2: Checked by KP
,41,1,2015-01-06,QUADRA,HAKAI,OCEANOGRAPHY;OCEANOGRAPHY,QOMA;QOMB,1,QU24,M,50.03,-125.08,,5,,false,None,3250,,,2015-01-06T17:07:02.000Z,2015-01-06T22:45:19.000Z,,Rebecca;Katie;Other,1,,QF104,130,,47,,,6.25873052058118,,,7.71612298229475,,38.5972863306618,,,-26.1100758958988,,UCDAVISSIF,SVC,SVD,,Results,Technician,,1: Results checked by RP.2: Checked by KP
,81,1,2015-01-13,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,5,,false,None,2500,,,2015-01-13T16:54:42.000Z,2015-01-13T20:45:09.000Z,,Kate;Rebecca;Other,1,,QF124,130.6,,47,,,23.8277197856346,,,6.00579945291966,,93.9911012693052,,,-26.9898762061609,,UCDAVISSIF,SVC,,,Results,Technicianmr,,1: Checked by KP2: C: Precision decreases for samples containing less than 100ugC. Results checked by RP.
,93,1,2015-01-21,QUADRA,HAKAI,OCEANOGRAPHY;OCEANOGRAPHY,QOMA;QOMB,1,QU24,M,50.03,-125.08,,5,,false,None,3000,,,2015-01-21T17:13:03.000Z,2015-01-21T23:48:39.000Z,,Kate;Rebecca;Megan,1,,QF128,132.7,,47,,,16.6219044272373,,,6.37794620170644,,106.652601310214,,,-25.5381220344867,,UCDAVISSIF,,SVC,,Results,Technician,,1: Results checked by RP.2: Checked by KP
,149,1,2015-01-28,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,5,,false,None,2000,,,2015-01-28T16:52:34.000Z,2015-01-28T21:12:45.000Z,,Rebecca;Other,1,,QF169,38.9,,25,,,9.36778849315858,,,6.37513744288858,,71.5888414217326,,,-26.7339790682536,,UCDAVISSIF,SVC,SVD,,Results,Technician,,1: Results checked by RP.2: Checked by KP
