action,event_pk,rn,date,work_area,organization,project,survey,sampling_bout,site_id,source,lat,long,collection_method,line_out_depth,pressure_transducer_depth,acidified,acidification_method,volume,part,screen_size,collected,preserved,analyzed,lab_technician,filter_portion,project_specific_id,hakai_id,pre_weight_mg,post_weight_mg,filter_size_mm,filter_type,total_beam_n,ug_n,per_n,delta_air,corr_delta15n,total_beam_c,ug_c,per_c,delta_pdb,corr_delta13c,c_n,analyzing_lab,c_flag,n_flag,c_n_flag,row_flag,quality_level,comments,quality_log
,4460,1,11/7/2014,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,240,,FALSE,None,3310,,,2014-11-07T17:30:32.000Z,2014-11-07T22:00:03.000Z,,,1,,QF47,131,,47,,,14.07762462,,,11.31761919,,109.518614,,,-24.00151071,,UCDAVISSIF,,SVC,,Results,Technician,,1: Results checked by RP.
2: Checked by KP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4460,1,11/7/2014,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,5,,FALSE,None,3470,,,2014-11-07T17:30:32.000Z,2014-11-07T22:00:03.000Z,,,1,,QF48,133,,47,,,8.694338364,,,8.742602981,,72.27095128,,,-26.13617188,,UCDAVISSIF,SVC,SVD,,Results,Technician,,1: Results checked by RP.
2: Checked by KP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4460,1,11/7/2014,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,30,,FALSE,None,3300,,,2014-11-07T17:30:32.000Z,2014-11-07T22:00:03.000Z,,,1,,QF49,132.3,,47,,,4.216369606,,,9.454267426,,47.89921338,,,-27.27847715,,UCDAVISSIF,SVC,SVD,,Results,Technician,,1: Results checked by RP.
2: Checked by KP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4460,1,11/7/2014,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,100,,FALSE,None,3500,,,2014-11-07T17:30:32.000Z,2014-11-07T22:00:03.000Z,,,1,,QF50,131.5,,47,,,6.694714944,,,5.562436781,,37.14402947,,,-24.05682032,,UCDAVISSIF,SVC,SVD,,Results,Technician,,1: Results checked by RP.
2: Checked by KP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4460,1,11/7/2014,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,0,,FALSE,None,3570,,,2014-11-07T17:30:32.000Z,2014-11-07T22:00:03.000Z,,,1,,QF52,129.9,,47,,,9.814883123,,,13.47552937,,108.5049047,,,-28.25063398,,UCDAVISSIF,,SVD,,Results,Technician,,1: Results checked by RP.
2: Checked by KP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
